card_id,pack_id
FC001,CP001
FC002,CP001
FC003,CP001
FC004,CP001
FC005,CP001
FC006,CP001
FC007,CP001
FC008,CP001
FC009,CP001
FC010,CP001
FC011,CP001
FC012,CP001
FC013,CP001
FC014,CP001
FC015,CP001
FC016,CP001
FC017,CP001
FC018,CP001
FC019,CP001
FC020,CP001
FC021,CP001
FC022,CP001
FC023,CP001
FC024,CP001
FC025,CP001
FC026,CP001
FC027,CP001
FC028,CP002
FC029,CP002
FC030,CP002
FC031,CP002
FC032,CP002
FC033,CP002
FC034,CP002
FC035,CP002
FC036,CP002
FC037,CP002
FC038,CP002
FC039,CP002
FC040,CP002
FC041,CP002
FC042,CP002
FC043,CP002
FC044,CP002
FC045,CP002
FC046,CP003
FC047,CP002
FC048,CP002
FC049,CP002
FC050,CP002
FC051,CP002
FC052,CP002
FC053,CP002
FC054,CP002
FC055,CP002
FC056,CP003
FC057,CP003
FC058,CP003
FC059,CP003
FC060,CP003
FC061,CP003
FC062,CP003
FC063,CP003
FC064,CP003
FC065,CP003
FC066,CP003
FC067,CP003
FC068,CP003
FC069,CP004
FC070,CP004
FC071,CP004
FC072,CP004
FC073,CP004
FC074,CP004
FC075,CP004
FC076,CP004
FC077,CP004
FC078,CP004
FC079,CP004
FC080,CP004
FC081,CP004
FC082,CP004
FC083,CP004
FC084,CP004
FC085,CP004
FC086,CP004
FC087,CP004
FC088,CP005
FC089,CP005
FC090,CP005
FC091,CP005
FC092,CP005
FC093,CP005
FC094,CP005
FC095,CP005
FC096,CP005
FC097,CP005
FC098,CP005
FC099,CP005
FC100,CP005
FC101,CP005
FC102,CP005
FC103,CP006
FC104,CP006
FC105,CP006
FC106,CP006
FC107,CP006
FC108,CP006
FC109,CP006
FC110,CP006
FC111,CP006
FC112,CP006
FC113,CP006
FC114,CP006
FC115,CP006
FC116,CP006
FC117,CP006
FC118,CP002
FC119,CP002
FC120,CP004
FC121,CP004
FC122,CP005
FC123,CP004
FC124,CP006
FC125,CP006
FC126,CP006
FC127,CP006
FC128,CP007
FC129,CP007
FC130,CP007
FC131,CP007
FC132,CP007
FC133,CP007
FC134,CP007
FC135,CP007
FC136,CP007
FC137,CP007
FC138,CP007
FC139,CP007
FC140,CP008
FC141,CP008
FC142,CP008
FC143,CP008
FC144,CP008
FC145,CP008
FC146,CP008
FC147,CP008
FC148,CP008
FC149,CP008
FC150,CP008
FC151,CP008
FC152,CP008
FC153,CP008
FC154,CP008
FC155,CP008
FC156,CP008
FC157,CP008
FC158,CP008
FC159,CP002
FC160,CP007
FC161,CP006
FC162,CP007
FC163,CP006
FC164,CP006
FC165,CP006
FC166,CP007
FC167,CP007
FC168,CP007
FC169,CP007
FC170,CP003
FC171,CP003
FC172,CP009
FC173,CP009
FC174,CP009
FC175,CP009
FC176,CP009
FC177,CP009
FC178,CP009
FC179,CP009
FC180,CP009
FC181,CP009
FC182,CP009
FC183,CP009
FC184,CP010
FC185,CP010
FC186,CP010
FC187,CP010
FC188,CP010
FC189,CP010
FC190,CP010
FC191,CP010
FC192,CP010
FC193,CP010
FC194,CP010
FC195,CP010
FC196,CP010
FC197,CP010
FC198,CP010
FC199,CP010
FC200,CP010
FC201,CP010
FC202,CP010
FC203,CP010
FC204,CP010
FC205,CP010
